arm	selector	top_t	k	split	loss	ckpt	wandb_url
R64	redundancy	64	10	MT	2.592362642288208	/localhome/local-triv/gated-continual-cartridges_explore/outputs/2026-07-29-08-30-06-continual_am_sparse/22f527c6-9ae9-413c-bbd5-35158d20f41d/cache-after-doc-009-f77cecfb.pt	https://wandb.ai/vqtri-purdue-university/SEACrowd/runs/gjqeg1kp
R64	redundancy	64	12	QA	2.0596976280212402	/localhome/local-triv/gated-continual-cartridges_explore/outputs/2026-07-29-08-30-06-continual_am_sparse/22f527c6-9ae9-413c-bbd5-35158d20f41d/cache-after-doc-011-cfcb19a9.pt	https://wandb.ai/vqtri-purdue-university/SEACrowd/runs/plizgo69
R64	redundancy	64	12	MT	2.5735456943511963	/localhome/local-triv/gated-continual-cartridges_explore/outputs/2026-07-29-08-30-06-continual_am_sparse/22f527c6-9ae9-413c-bbd5-35158d20f41d/cache-after-doc-011-cfcb19a9.pt	https://wandb.ai/vqtri-purdue-university/SEACrowd/runs/h3qlhe88
R64	redundancy	64	16	QA	2.0507450103759766	/localhome/local-triv/gated-continual-cartridges_explore/outputs/2026-07-29-08-30-06-continual_am_sparse/22f527c6-9ae9-413c-bbd5-35158d20f41d/cache-after-doc-015-af07b880.pt	https://wandb.ai/vqtri-purdue-university/SEACrowd/runs/ccpuqzyn
R64	redundancy	64	16	MT	2.4810733795166016	/localhome/local-triv/gated-continual-cartridges_explore/outputs/2026-07-29-08-30-06-continual_am_sparse/22f527c6-9ae9-413c-bbd5-35158d20f41d/cache-after-doc-015-af07b880.pt	https://wandb.ai/vqtri-purdue-university/SEACrowd/runs/x45yshhg
R128	redundancy	128	8	QA	2.0611114501953125	/localhome/local-triv/gated-continual-cartridges_explore/outputs/2026-07-29-09-00-16-continual_am_sparse/ad9eb878-6115-4a17-9ad2-cdfbf9edb4cf/cache-after-doc-007-e1a7f420.pt	https://wandb.ai/vqtri-purdue-university/SEACrowd/runs/uoqggy3b
R128	redundancy	128	8	MT	2.551429510116577	/localhome/local-triv/gated-continual-cartridges_explore/outputs/2026-07-29-09-00-16-continual_am_sparse/ad9eb878-6115-4a17-9ad2-cdfbf9edb4cf/cache-after-doc-007-e1a7f420.pt	https://wandb.ai/vqtri-purdue-university/SEACrowd/runs/jnde4a9m
R128	redundancy	128	10	QA	2.0617520809173584	/localhome/local-triv/gated-continual-cartridges_explore/outputs/2026-07-29-09-00-16-continual_am_sparse/ad9eb878-6115-4a17-9ad2-cdfbf9edb4cf/cache-after-doc-009-f77cecfb.pt	https://wandb.ai/vqtri-purdue-university/SEACrowd/runs/jnuuxv0c
R128	redundancy	128	10	MT	2.525514841079712	/localhome/local-triv/gated-continual-cartridges_explore/outputs/2026-07-29-09-00-16-continual_am_sparse/ad9eb878-6115-4a17-9ad2-cdfbf9edb4cf/cache-after-doc-009-f77cecfb.pt	https://wandb.ai/vqtri-purdue-university/SEACrowd/runs/qs33xjl4
R128	redundancy	128	12	QA	2.0845301151275635	/localhome/local-triv/gated-continual-cartridges_explore/outputs/2026-07-29-09-00-16-continual_am_sparse/ad9eb878-6115-4a17-9ad2-cdfbf9edb4cf/cache-after-doc-011-cfcb19a9.pt	https://wandb.ai/vqtri-purdue-university/SEACrowd/runs/9enz960u
R128	redundancy	128	12	MT	2.502504348754883	/localhome/local-triv/gated-continual-cartridges_explore/outputs/2026-07-29-09-00-16-continual_am_sparse/ad9eb878-6115-4a17-9ad2-cdfbf9edb4cf/cache-after-doc-011-cfcb19a9.pt	https://wandb.ai/vqtri-purdue-university/SEACrowd/runs/gizx3ae8
R128	redundancy	128	16	QA	2.1286065578460693	/localhome/local-triv/gated-continual-cartridges_explore/outputs/2026-07-29-09-00-16-continual_am_sparse/ad9eb878-6115-4a17-9ad2-cdfbf9edb4cf/cache-after-doc-015-af07b880.pt	https://wandb.ai/vqtri-purdue-university/SEACrowd/runs/k97f0c7p
R128	redundancy	128	16	MT	2.45815372467041	/localhome/local-triv/gated-continual-cartridges_explore/outputs/2026-07-29-09-00-16-continual_am_sparse/ad9eb878-6115-4a17-9ad2-cdfbf9edb4cf/cache-after-doc-015-af07b880.pt	https://wandb.ai/vqtri-purdue-university/SEACrowd/runs/vs6qxlzw
X32	mass_x_redundancy	32	8	QA	1.8943408727645874	/localhome/local-triv/gated-continual-cartridges_explore/outputs/2026-07-29-09-31-11-continual_am_sparse/92f25ada-3c40-46ee-915c-fa28933d66ef/cache-after-doc-007-e1a7f420.pt	https://wandb.ai/vqtri-purdue-university/SEACrowd/runs/myekkkn3
