stage,qa,mt,sa,asr,kg
p01,4.0740275382995605,4.094959259033203,4.181217670440674,3.7362403869628906,3.942690372467041
p02,4.148685932159424,4.04436731338501,4.199695587158203,3.903733015060425,4.005306720733643
p03,4.245445728302002,4.178887367248535,4.263236045837402,4.072000026702881,4.105388164520264
p04,4.716113567352295,4.730718612670898,4.742574691772461,4.519827365875244,4.5466108322143555
p05,4.900676727294922,4.9629011154174805,5.000059127807617,4.744307041168213,4.720757961273193
