stage,p1,p2,p3,p4,p5
p01,2.321,2.925,2.576,2.153,3.161
p02,2.122,2.678,2.296,1.989,2.863
p03,1.843,2.431,2.044,1.771,2.596
p04,1.691,2.289,1.895,1.649,2.417
p05,1.66,2.224,1.848,1.617,2.344
