stage,qa,mt,sa,asr,kg
p01,4.0740275382995605,4.094959259033203,4.181217670440674,3.7362403869628906,3.942690372467041
p02,4.181606769561768,3.9878013134002686,4.147168159484863,3.8718512058258057,3.9488914012908936
p03,4.02677583694458,3.8628523349761963,3.970526695251465,3.7958085536956787,3.7901337146759033
p04,3.8468799591064453,3.7331342697143555,3.868821620941162,3.591322660446167,3.693612813949585
p05,3.897505044937134,3.8830785751342773,3.951388120651245,3.709965229034424,3.7405617237091064
