stage,qa,mt,sa,asr,kg
p01,4.0740275382995605,4.094959259033203,4.181217670440674,3.7362403869628906,3.942690372467041
p02,4.052757263183594,3.880340576171875,4.063844680786133,3.7658889293670654,3.85396409034729
p03,3.4593803882598877,3.336956262588501,3.4914963245391846,3.1812689304351807,3.274470329284668
p04,3.707777261734009,3.5447869300842285,3.706491470336914,3.414951801300049,3.522191286087036
p05,3.5601754188537598,3.4847092628479004,3.6151282787323,3.3440394401550293,3.3903517723083496
