arm	k	split	loss	ckpt	wandb_url
control	9	MT	2.4436779022216797	/localhome/local-triv/gated-continual-cartridges_explore/outputs/2026-07-28-23-19-56-continual_am_sparse/508b8b0f-075a-429b-b757-2b11bfb57124/cache-after-doc-008-6f413175.pt	https://wandb.ai/vqtri-purdue-university/SEACrowd/runs/pvsko04u
control	10	QA	1.9674913883209229	/localhome/local-triv/gated-continual-cartridges_explore/outputs/2026-07-28-23-19-56-continual_am_sparse/508b8b0f-075a-429b-b757-2b11bfb57124/cache-after-doc-009-f77cecfb.pt	https://wandb.ai/vqtri-purdue-university/SEACrowd/runs/h2uf3eu0
control	10	MT	2.4083292484283447	/localhome/local-triv/gated-continual-cartridges_explore/outputs/2026-07-28-23-19-56-continual_am_sparse/508b8b0f-075a-429b-b757-2b11bfb57124/cache-after-doc-009-f77cecfb.pt	https://wandb.ai/vqtri-purdue-university/SEACrowd/runs/ka0imjc8
control	11	QA	1.9997590780258179	/localhome/local-triv/gated-continual-cartridges_explore/outputs/2026-07-28-23-19-56-continual_am_sparse/508b8b0f-075a-429b-b757-2b11bfb57124/cache-after-doc-010-aba1a026.pt	https://wandb.ai/vqtri-purdue-university/SEACrowd/runs/n822uohp
control	11	MT	2.4306740760803223	/localhome/local-triv/gated-continual-cartridges_explore/outputs/2026-07-28-23-19-56-continual_am_sparse/508b8b0f-075a-429b-b757-2b11bfb57124/cache-after-doc-010-aba1a026.pt	https://wandb.ai/vqtri-purdue-university/SEACrowd/runs/is0drb3v
control	13	QA	2.079558849334717	/localhome/local-triv/gated-continual-cartridges_explore/outputs/2026-07-28-23-19-56-continual_am_sparse/508b8b0f-075a-429b-b757-2b11bfb57124/cache-after-doc-012-01bdc15a.pt	https://wandb.ai/vqtri-purdue-university/SEACrowd/runs/6wx0v8mm
control	13	MT	2.486041784286499	/localhome/local-triv/gated-continual-cartridges_explore/outputs/2026-07-28-23-19-56-continual_am_sparse/508b8b0f-075a-429b-b757-2b11bfb57124/cache-after-doc-012-01bdc15a.pt	https://wandb.ai/vqtri-purdue-university/SEACrowd/runs/i8th2qf0
control	15	QA	2.1373283863067627	/localhome/local-triv/gated-continual-cartridges_explore/outputs/2026-07-28-23-19-56-continual_am_sparse/508b8b0f-075a-429b-b757-2b11bfb57124/cache-after-doc-014-8d059cfa.pt	https://wandb.ai/vqtri-purdue-university/SEACrowd/runs/1ynosemh
control	15	MT	2.514181613922119	/localhome/local-triv/gated-continual-cartridges_explore/outputs/2026-07-28-23-19-56-continual_am_sparse/508b8b0f-075a-429b-b757-2b11bfb57124/cache-after-doc-014-8d059cfa.pt	https://wandb.ai/vqtri-purdue-university/SEACrowd/runs/vjafk40t
control	8	QA	1.9329710006713867	/localhome/local-triv/gated-continual-cartridges_explore/outputs/2026-07-28-23-19-56-continual_am_sparse/508b8b0f-075a-429b-b757-2b11bfb57124/cache-after-doc-007-e1a7f420.pt	https://wandb.ai/vqtri-purdue-university/SEACrowd/runs/x1o4utcr
control	8	MT	2.453585624694824	/localhome/local-triv/gated-continual-cartridges_explore/outputs/2026-07-28-23-19-56-continual_am_sparse/508b8b0f-075a-429b-b757-2b11bfb57124/cache-after-doc-007-e1a7f420.pt	https://wandb.ai/vqtri-purdue-university/SEACrowd/runs/6fx3bvd4
control	12	QA	2.074141263961792	/localhome/local-triv/gated-continual-cartridges_explore/outputs/2026-07-28-23-19-56-continual_am_sparse/508b8b0f-075a-429b-b757-2b11bfb57124/cache-after-doc-011-cfcb19a9.pt	https://wandb.ai/vqtri-purdue-university/SEACrowd/runs/t8f8ei42
control	12	MT	2.4704575538635254	/localhome/local-triv/gated-continual-cartridges_explore/outputs/2026-07-28-23-19-56-continual_am_sparse/508b8b0f-075a-429b-b757-2b11bfb57124/cache-after-doc-011-cfcb19a9.pt	https://wandb.ai/vqtri-purdue-university/SEACrowd/runs/n0j4apjj
control	14	QA	2.0921683311462402	/localhome/local-triv/gated-continual-cartridges_explore/outputs/2026-07-28-23-19-56-continual_am_sparse/508b8b0f-075a-429b-b757-2b11bfb57124/cache-after-doc-013-152f42ae.pt	https://wandb.ai/vqtri-purdue-university/SEACrowd/runs/986l35hp
control	14	MT	2.4835116863250732	/localhome/local-triv/gated-continual-cartridges_explore/outputs/2026-07-28-23-19-56-continual_am_sparse/508b8b0f-075a-429b-b757-2b11bfb57124/cache-after-doc-013-152f42ae.pt	https://wandb.ai/vqtri-purdue-university/SEACrowd/runs/3djk7b5p
