arm	top_t	nq	dw	k	split	loss	ckpt	ckpt_sha256	wandb_url
C_t64q512	64	512	1e-2	8	MT	2.376755952835083	/localhome/local-triv/gated-continual-cartridges_explore/outputs/2026-07-29-11-52-04-continual_am_sparse/0fca508b-49f6-4e63-bb5d-7ce0ac766467/cache-after-doc-007-e1a7f420.pt	0dc0ecf0a8c93bfd	https://wandb.ai/vqtri-purdue-university/SEACrowd/runs/bnzgf5mt
C_t64q512	64	512	1e-2	10	QA	2.255117654800415	/localhome/local-triv/gated-continual-cartridges_explore/outputs/2026-07-29-11-52-04-continual_am_sparse/0fca508b-49f6-4e63-bb5d-7ce0ac766467/cache-after-doc-009-f77cecfb.pt	daef3d204cf8e75d	https://wandb.ai/vqtri-purdue-university/SEACrowd/runs/z9cf28m8
C_t64q512	64	512	1e-2	10	MT	2.4352633953094482	/localhome/local-triv/gated-continual-cartridges_explore/outputs/2026-07-29-11-52-04-continual_am_sparse/0fca508b-49f6-4e63-bb5d-7ce0ac766467/cache-after-doc-009-f77cecfb.pt	daef3d204cf8e75d	https://wandb.ai/vqtri-purdue-university/SEACrowd/runs/9knvc7t5
C_t64q512	64	512	1e-2	12	QA	2.2723634243011475	/localhome/local-triv/gated-continual-cartridges_explore/outputs/2026-07-29-11-52-04-continual_am_sparse/0fca508b-49f6-4e63-bb5d-7ce0ac766467/cache-after-doc-011-cfcb19a9.pt	cab7f02da4cb876a	https://wandb.ai/vqtri-purdue-university/SEACrowd/runs/1n3ge0ut
C_t64q512	64	512	1e-2	12	MT	2.4304800033569336	/localhome/local-triv/gated-continual-cartridges_explore/outputs/2026-07-29-11-52-04-continual_am_sparse/0fca508b-49f6-4e63-bb5d-7ce0ac766467/cache-after-doc-011-cfcb19a9.pt	cab7f02da4cb876a	https://wandb.ai/vqtri-purdue-university/SEACrowd/runs/jv2b8meu
C_t64q512	64	512	1e-2	16	QA	2.35337233543396	/localhome/local-triv/gated-continual-cartridges_explore/outputs/2026-07-29-11-52-04-continual_am_sparse/0fca508b-49f6-4e63-bb5d-7ce0ac766467/cache-after-doc-015-af07b880.pt	344a0a498183c850	https://wandb.ai/vqtri-purdue-university/SEACrowd/runs/9urq79dz
C_t64q512	64	512	1e-2	16	MT	2.488950252532959	/localhome/local-triv/gated-continual-cartridges_explore/outputs/2026-07-29-11-52-04-continual_am_sparse/0fca508b-49f6-4e63-bb5d-7ce0ac766467/cache-after-doc-015-af07b880.pt	344a0a498183c850	https://wandb.ai/vqtri-purdue-university/SEACrowd/runs/tqlva5y4
B_t256q1024	256	1024	1e-2	8	QA	2.4705379009246826	/localhome/local-triv/gated-continual-cartridges_explore/outputs/2026-07-29-12-24-30-continual_am_sparse/39f70bd3-d369-4706-9ec3-ec835af66006/cache-after-doc-007-e1a7f420.pt	4402c38c048e0795	https://wandb.ai/vqtri-purdue-university/SEACrowd/runs/drzcgx06
B_t256q1024	256	1024	1e-2	8	MT	2.3859639167785645	/localhome/local-triv/gated-continual-cartridges_explore/outputs/2026-07-29-12-24-30-continual_am_sparse/39f70bd3-d369-4706-9ec3-ec835af66006/cache-after-doc-007-e1a7f420.pt	4402c38c048e0795	https://wandb.ai/vqtri-purdue-university/SEACrowd/runs/2l1johgr
B_t256q1024	256	1024	1e-2	10	QA	2.5172483921051025	/localhome/local-triv/gated-continual-cartridges_explore/outputs/2026-07-29-12-24-30-continual_am_sparse/39f70bd3-d369-4706-9ec3-ec835af66006/cache-after-doc-009-f77cecfb.pt	216353581c71801b	https://wandb.ai/vqtri-purdue-university/SEACrowd/runs/iapisols
