stage_id,p01,p02,p03,p04,p05
p01,0.3064516129032258,0.234375,0.2786885245901639,0.2777777777777778,0.23770491803278687
p02,0.2661290322580645,0.2578125,0.319672131147541,0.2698412698412698,0.2459016393442623
p03,0.27419354838709675,0.2578125,0.32786885245901637,0.2857142857142857,0.29508196721311475
p04,0.24193548387096775,0.2734375,0.2786885245901639,0.2777777777777778,0.30327868852459017
p05,0.1935483870967742,0.2578125,0.2540983606557377,0.30158730158730157,0.27049180327868855
