stage,p1,p2,p3,p4,p5
p01,4.240541458129883,4.377735137939453,4.437889575958252,4.332569599151611,4.385256767272949
p02,4.055782794952393,4.288172245025635,4.348674297332764,4.165388107299805,4.328553676605225
p03,4.149095058441162,4.367458820343018,4.495519161224365,4.269305229187012,4.424978733062744
p04,4.40042781829834,4.637516498565674,4.760119915008545,4.524673938751221,4.697879314422607
p05,4.9428935050964355,5.2061591148376465,5.264439582824707,5.099405288696289,5.259317874908447
