stage,p1,p2,p3,p4,p5
p01,4.240541458129883,4.377735137939453,4.437889575958252,4.332569599151611,4.385256767272949
p02,4.62299919128418,4.865176200866699,4.957467079162598,4.766979694366455,4.889370918273926
p03,4.767416477203369,5.050612926483154,5.16805362701416,4.9019389152526855,5.087011337280273
p04,4.965663909912109,5.266095161437988,5.348206520080566,5.163876533508301,5.341938018798828
p05,4.755074977874756,5.056234836578369,5.17032527923584,4.905849456787109,5.111307144165039
