stage,p1,p2,p3,p4,p5
p01,2.3231558799743652,2.927072763442993,2.573949098587036,2.1492156982421875,3.1636977195739746
p02,2.0116543769836426,2.5952541828155518,2.2469844818115234,1.902016282081604,2.828151226043701
p03,2.0121140480041504,2.6488842964172363,2.2379708290100098,1.9266294240951538,2.8122172355651855
p04,1.9815173149108887,2.6448564529418945,2.183924436569214,1.9040976762771606,2.7867424488067627
p05,1.865116000175476,2.5109939575195312,2.06147837638855,1.8062940835952759,2.6447179317474365
