stage,p1,p2,p3,p4,p5
p01,2.3231558799743652,2.927072763442993,2.573949098587036,2.1492156982421875,3.1636977195739746
p02,1.922349452972412,2.516453981399536,2.1997759342193604,1.890515923500061,2.6766128540039062
p03,1.8436379432678223,2.42258358001709,2.108515977859497,1.7881630659103394,2.5263442993164062
p04,1.7576098442077637,2.2562503814697266,1.9660371541976929,1.694471836090088,2.3974738121032715
p05,1.831497073173523,2.3225083351135254,2.019331216812134,1.7704713344573975,2.4682655334472656
