stage,p1,p2,p3,p4,p5
p01,2.3231558799743652,2.927072763442993,2.573949098587036,2.1492156982421875,3.1636977195739746
p02,2.042499542236328,2.6224915981292725,2.2646117210388184,1.923034429550171,2.8325207233428955
p03,1.827704668045044,2.4257912635803223,2.0417227745056152,1.7581884860992432,2.592108964920044
p04,1.6741217374801636,2.2457101345062256,1.8638092279434204,1.6175259351730347,2.3681445121765137
p05,1.6465638875961304,2.2037267684936523,1.8227463960647583,1.597628116607666,2.3172311782836914
