stage,qa,mt,sa,asr,kg
p01,4.0740275382995605,4.094959259033203,4.181217670440674,3.7362403869628906,3.942690372467041
p02,3.906005382537842,3.7940759658813477,3.930751323699951,3.6434504985809326,3.737902879714966
p03,3.4596712589263916,3.3643381595611572,3.4658665657043457,3.2209527492523193,3.326319456100464
p04,3.623368263244629,3.517658233642578,3.6356163024902344,3.369518995285034,3.537992238998413
p05,3.7047362327575684,3.6815574169158936,3.747854232788086,3.4604134559631348,3.4860711097717285
