stage,p1,p2,p3,p4,p5
p01,2.3231558799743652,2.927072763442993,2.573949098587036,2.1492156982421875,3.1636977195739746
p02,1.9632569551467896,2.5722498893737793,2.21336030960083,1.9029145240783691,2.7489829063415527
p03,1.9032666683197021,2.4896438121795654,2.141462802886963,1.8490389585494995,2.6744437217712402
p04,1.9172497987747192,2.489556312561035,2.1335394382476807,1.847037672996521,2.6688389778137207
p05,1.7771538496017456,2.3113791942596436,1.9794526100158691,1.7274835109710693,2.453080177307129
