stage,qa,mt,sa,asr,kg
p01,4.0740275382995605,4.094959259033203,4.181217670440674,3.7362403869628906,3.942690372467041
p02,4.3817291259765625,4.236539840698242,4.373401641845703,4.149411201477051,4.208465576171875
p03,4.069249153137207,3.9704508781433105,4.070167541503906,3.896867036819458,3.9434831142425537
p04,4.344455242156982,4.31612491607666,4.364388465881348,4.135871410369873,4.199517726898193
p05,4.417701244354248,4.483057498931885,4.508518218994141,4.263609886169434,4.269046306610107
