stage,qa,mt,sa,asr,kg
p01,4.0740275382995605,4.094959259033203,4.181217670440674,3.7362403869628906,3.942690372467041
p02,4.036097526550293,3.927300214767456,4.034475803375244,3.761477470397949,3.8551080226898193
p03,3.5346922874450684,3.4275834560394287,3.523146152496338,3.2999014854431152,3.388674020767212
p04,3.6375179290771484,3.518312931060791,3.6157703399658203,3.3840291500091553,3.5046889781951904
p05,3.5330088138580322,3.5200769901275635,3.573632001876831,3.357341766357422,3.43935489654541
