stage_id,p01,p02,p03,p04,p05
p01,0.3064516129032258,0.234375,0.2786885245901639,0.2777777777777778,0.23770491803278687
p02,0.28225806451612906,0.28125,0.29508196721311475,0.30158730158730157,0.27049180327868855
p03,0.31451612903225806,0.2421875,0.3442622950819672,0.36507936507936506,0.2786885245901639
p04,0.25,0.265625,0.3114754098360656,0.3333333333333333,0.2786885245901639
p05,0.23387096774193547,0.2421875,0.2786885245901639,0.31746031746031744,0.2540983606557377
