stage,p1,p2,p3,p4,p5
p01,4.240541458129883,4.377735137939453,4.437889575958252,4.332569599151611,4.385256767272949
p02,4.793943881988525,5.064819812774658,5.173779487609863,4.927230358123779,5.139651775360107
p03,4.805958271026611,5.10692024230957,5.209034442901611,4.961256504058838,5.1863203048706055
p04,5.145043849945068,5.4736857414245605,5.528706073760986,5.295441627502441,5.548347473144531
p05,4.553378105163574,4.833741188049316,4.966405391693115,4.676693916320801,4.8961334228515625
