ckpt_tag	subset	loss	ckpt	wandb_url
K16B	MTfull	2.529625177383423	/localhome/local-triv/gated-continual-cartridges_explore/outputs/2026-07-28-21-23-35-continual_am_sparse/5ff66d3f-84dc-466e-b539-d2ef01a53785/cache-after-doc-015-af07b880.pt	https://wandb.ai/vqtri-purdue-university/SEACrowd/runs/hbagwkl6
K12B	MTfull	2.4704575538635254	/localhome/local-triv/gated-continual-cartridges_explore/outputs/2026-07-28-21-23-35-continual_am_sparse/5ff66d3f-84dc-466e-b539-d2ef01a53785/cache-after-doc-011-cfcb19a9.pt	https://wandb.ai/vqtri-purdue-university/SEACrowd/runs/nxqn6tzo
K01B	MTfull	3.1145591735839844	/localhome/local-triv/gated-continual-cartridges_explore/outputs/2026-07-28-21-23-35-continual_am_sparse/5ff66d3f-84dc-466e-b539-d2ef01a53785/cache-after-doc-000-ae4e8fb7.pt	https://wandb.ai/vqtri-purdue-university/SEACrowd/runs/nd0q4hys
K01B	doc000	2.5394184589385986	/localhome/local-triv/gated-continual-cartridges_explore/outputs/2026-07-28-21-23-35-continual_am_sparse/5ff66d3f-84dc-466e-b539-d2ef01a53785/cache-after-doc-000-ae4e8fb7.pt	https://wandb.ai/vqtri-purdue-university/SEACrowd/runs/oet6lhdn
A_doc015	loo_e0	3.971027135848999	/localhome/local-triv/gated-continual-cartridges_explore/outputs/2026-07-29-00-17-41-continual_am_sparse/ff3b4aca-42f2-485c-b0ad-62fe07422083/cache-after-doc-000-af07b880.pt	https://wandb.ai/vqtri-purdue-university/SEACrowd/runs/43bv45z3
K16A	loo_e0	2.6095480918884277	/localhome/local-triv/gated-continual-cartridges_explore/outputs/2026-07-28-21-43-17-continual_am_sparse/4b0edcab-d1c5-4313-bc43-309d7ff77097/cache-after-doc-015-af07b880.pt	https://wandb.ai/vqtri-purdue-university/SEACrowd/runs/lk26bz5v
A_doc015	loo_e1	3.6476545333862305	/localhome/local-triv/gated-continual-cartridges_explore/outputs/2026-07-29-00-17-41-continual_am_sparse/ff3b4aca-42f2-485c-b0ad-62fe07422083/cache-after-doc-000-af07b880.pt	https://wandb.ai/vqtri-purdue-university/SEACrowd/runs/ye5l78oy
K16A	loo_e1	2.439443826675415	/localhome/local-triv/gated-continual-cartridges_explore/outputs/2026-07-28-21-43-17-continual_am_sparse/4b0edcab-d1c5-4313-bc43-309d7ff77097/cache-after-doc-015-af07b880.pt	https://wandb.ai/vqtri-purdue-university/SEACrowd/runs/yu0sjyts
A_doc015	loo_e2	3.9033987522125244	/localhome/local-triv/gated-continual-cartridges_explore/outputs/2026-07-29-00-17-41-continual_am_sparse/ff3b4aca-42f2-485c-b0ad-62fe07422083/cache-after-doc-000-af07b880.pt	https://wandb.ai/vqtri-purdue-university/SEACrowd/runs/i2g01ngk
K16A	loo_e2	2.559464931488037	/localhome/local-triv/gated-continual-cartridges_explore/outputs/2026-07-28-21-43-17-continual_am_sparse/4b0edcab-d1c5-4313-bc43-309d7ff77097/cache-after-doc-015-af07b880.pt	https://wandb.ai/vqtri-purdue-university/SEACrowd/runs/fuybb0ea
A_doc015	loo_e3	3.759861707687378	/localhome/local-triv/gated-continual-cartridges_explore/outputs/2026-07-29-00-17-41-continual_am_sparse/ff3b4aca-42f2-485c-b0ad-62fe07422083/cache-after-doc-000-af07b880.pt	https://wandb.ai/vqtri-purdue-university/SEACrowd/runs/0laxyxhc
K16A	loo_e3	2.5649046897888184	/localhome/local-triv/gated-continual-cartridges_explore/outputs/2026-07-28-21-43-17-continual_am_sparse/4b0edcab-d1c5-4313-bc43-309d7ff77097/cache-after-doc-015-af07b880.pt	https://wandb.ai/vqtri-purdue-university/SEACrowd/runs/t1gh747b
A_doc015	loo_e4	4.027742385864258	/localhome/local-triv/gated-continual-cartridges_explore/outputs/2026-07-29-00-17-41-continual_am_sparse/ff3b4aca-42f2-485c-b0ad-62fe07422083/cache-after-doc-000-af07b880.pt	https://wandb.ai/vqtri-purdue-university/SEACrowd/runs/5279v3a7
K16A	loo_e4	2.709730625152588	/localhome/local-triv/gated-continual-cartridges_explore/outputs/2026-07-28-21-43-17-continual_am_sparse/4b0edcab-d1c5-4313-bc43-309d7ff77097/cache-after-doc-015-af07b880.pt	https://wandb.ai/vqtri-purdue-university/SEACrowd/runs/6iywz5mg
A_doc015	loo_e5	3.6486318111419678	/localhome/local-triv/gated-continual-cartridges_explore/outputs/2026-07-29-00-17-41-continual_am_sparse/ff3b4aca-42f2-485c-b0ad-62fe07422083/cache-after-doc-000-af07b880.pt	https://wandb.ai/vqtri-purdue-university/SEACrowd/runs/3mny86cl
K16A	loo_e5	2.435629367828369	/localhome/local-triv/gated-continual-cartridges_explore/outputs/2026-07-28-21-43-17-continual_am_sparse/4b0edcab-d1c5-4313-bc43-309d7ff77097/cache-after-doc-015-af07b880.pt	https://wandb.ai/vqtri-purdue-university/SEACrowd/runs/pc0iv6b2
A_doc015	loo_e6	4.21653938293457	/localhome/local-triv/gated-continual-cartridges_explore/outputs/2026-07-29-00-17-41-continual_am_sparse/ff3b4aca-42f2-485c-b0ad-62fe07422083/cache-after-doc-000-af07b880.pt	https://wandb.ai/vqtri-purdue-university/SEACrowd/runs/3eh5v05m
K16A	loo_e6	2.8059258460998535	/localhome/local-triv/gated-continual-cartridges_explore/outputs/2026-07-28-21-43-17-continual_am_sparse/4b0edcab-d1c5-4313-bc43-309d7ff77097/cache-after-doc-015-af07b880.pt	https://wandb.ai/vqtri-purdue-university/SEACrowd/runs/6cn99sp6
