stage,p1,p2,p3,p4,p5
p01,4.240541458129883,4.377735137939453,4.437889575958252,4.332569599151611,4.385256767272949
p02,4.286756992340088,4.48505973815918,4.537248611450195,4.401645660400391,4.53946590423584
p03,4.551802158355713,4.801827430725098,4.869480609893799,4.710944175720215,4.860867500305176
p04,5.180875778198242,5.463484287261963,5.4776105880737305,5.32415771484375,5.519349098205566
p05,5.242399215698242,5.530043601989746,5.529095649719238,5.385693550109863,5.577535629272461
